,flight_id,flight_no,arr_air,month_,model,sum_tickets,time_fly_min,zapoln_air,topl,price,zatr_topl,profit,profit1
0,136642,PG0480,EGO,1.0,Sukhoi Superjet-100,531000.0,50.0,0.65979381443299,1700,48009,68013.0,462987.0,6327.0
1,136807,PG0480,EGO,2.0,Sukhoi Superjet-100,531000.0,50.0,0.701030927835051,1700,44503,63046.0,467954.0,11294.0
2,136360,PG0252,SVO,2.0,Boeing 737-300,1455400.0,100.0,0.746153846153846,2600,44503,192846.0,1262554.0,10910.00000000003
3,136122,PG0252,SVO,1.0,Boeing 737-300,1431000.0,100.0,0.746153846153846,2600,48009,208039.0,1222961.0,-7698.999999999971
4,136178,PG0252,SVO,1.0,Boeing 737-300,1434600.0,100.0,0.761538461538461,2600,48009,208039.0,1226561.0,-7194.999999999971
5,136250,PG0252,SVO,2.0,Boeing 737-300,1407800.0,100.0,0.761538461538461,2600,44503,192846.0,1214954.0,4246.000000000029
6,136464,PG0252,SVO,1.0,Boeing 737-300,1398000.0,100.0,0.769230769230769,2600,48009,208039.0,1189961.0,-12318.99999999997
7,136202,PG0252,SVO,1.0,Boeing 737-300,1495600.0,100.0,0.769230769230769,2600,48009,208039.0,1287561.0,1345.000000000029
8,136922,PG0480,EGO,2.0,Sukhoi Superjet-100,607800.0,50.0,0.783505154639175,1700,44503,63046.0,544754.0,22046.000000000015
9,136366,PG0252,SVO,1.0,Boeing 737-300,1527400.0,100.0,0.792307692307692,2600,48009,208039.0,1319361.0,5797.000000000029
10,136185,PG0252,SVO,1.0,Boeing 737-300,1520000.0,100.0,0.8,2600,48009,208039.0,1311961.0,4761.000000000029
11,136420,PG0252,SVO,1.0,Boeing 737-300,1542000.0,100.0,0.8,2600,48009,208039.0,1333961.0,7841.000000000029
12,136887,PG0480,EGO,1.0,Sukhoi Superjet-100,595200.0,50.0,0.804123711340206,1700,48009,68013.0,527187.0,15315.000000000015
13,136823,PG0480,EGO,2.0,Sukhoi Superjet-100,620400.0,50.0,0.804123711340206,1700,44503,63046.0,557354.0,23810.000000000015
14,136351,PG0252,SVO,2.0,Boeing 737-300,1555400.0,100.0,0.807692307692308,2600,44503,192846.0,1362554.0,24910.00000000003
15,136844,PG0480,EGO,2.0,Sukhoi Superjet-100,575100.0,50.0,0.814432989690722,1700,44503,63046.0,512054.0,17468.000000000015
16,136888,PG0480,EGO,2.0,Sukhoi Superjet-100,626100.0,50.0,0.814432989690722,1700,44503,63046.0,563054.0,24608.000000000015
17,136620,PG0480,EGO,2.0,Sukhoi Superjet-100,613500.0,50.0,0.814432989690722,1700,44503,63046.0,550454.0,22844.000000000015
18,136282,PG0252,SVO,1.0,Boeing 737-300,1518800.0,100.0,0.815384615384615,2600,48009,208039.0,1310761.0,4593.000000000029
19,136485,PG0252,SVO,1.0,Boeing 737-300,1520000.0,100.0,0.815384615384615,2600,48009,208039.0,1311961.0,4761.000000000029
20,136383,PG0252,SVO,1.0,Boeing 737-300,1493200.0,100.0,0.815384615384615,2600,48009,208039.0,1285161.0,1009.0000000000291
21,136320,PG0252,SVO,2.0,Boeing 737-300,1544400.0,100.0,0.815384615384615,2600,44503,192846.0,1351554.0,23370.00000000003
22,136130,PG0252,SVO,2.0,Boeing 737-300,1556600.0,100.0,0.823076923076923,2600,44503,192846.0,1363754.0,25078.00000000003
23,136486,PG0252,SVO,2.0,Boeing 737-300,1505400.0,100.0,0.823076923076923,2600,44503,192846.0,1312554.0,17910.00000000003
24,136204,PG0252,SVO,2.0,Boeing 737-300,1457800.0,100.0,0.823076923076923,2600,44503,192846.0,1264954.0,11246.00000000003
25,136678,PG0480,EGO,1.0,Sukhoi Superjet-100,631200.0,50.0,0.824742268041237,1700,48009,68013.0,563187.0,20355.000000000015
26,136345,PG0252,SVO,1.0,Boeing 737-300,1517600.0,100.0,0.830769230769231,2600,48009,208039.0,1309561.0,4425.000000000029
27,136322,PG0252,SVO,2.0,Boeing 737-300,1567600.0,100.0,0.830769230769231,2600,44503,192846.0,1374754.0,26618.00000000003
28,136266,PG0252,SVO,2.0,Boeing 737-300,1566400.0,100.0,0.830769230769231,2600,44503,192846.0,1373554.0,26450.00000000003
29,136937,PG0480,EGO,1.0,Sukhoi Superjet-100,626100.0,50.0,0.835051546391753,1700,48009,68013.0,558087.0,19641.000000000015
30,136609,PG0480,EGO,1.0,Sukhoi Superjet-100,639300.0,50.0,0.835051546391753,1700,48009,68013.0,571287.0,21489.000000000015
